Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets
original,455,442,13,8
Aggressive,458 (-3; -100.0%),443 (-1; -100.0%),15 (-2; -100.0%),7 (1; 0.0%)
